Date,Clicks,Impressions,CTR,Position
2026-05-04,2,73,2.74%,55
2026-05-05,3,66,4.55%,30.2
2026-05-06,1,44,2.27%,40.7
2026-05-07,1,36,2.78%,38.7
2026-05-08,1,38,2.63%,44.1
2026-05-09,1,54,1.85%,57.6
2026-05-10,0,31,0%,49.2
2026-05-11,0,55,0%,34.4
2026-05-12,1,36,2.78%,29.1
2026-05-13,5,54,9.26%,27
2026-05-14,1,40,2.5%,26.7
2026-05-15,0,38,0%,48.5
2026-05-16,0,33,0%,27.4
2026-05-17,0,32,0%,19.6
2026-05-18,0,44,0%,50.6
2026-05-19,1,29,3.45%,35.3
2026-05-20,1,29,3.45%,54.5
2026-05-21,1,25,4%,26.4
2026-05-22,1,64,1.56%,58.5
2026-05-23,0,52,0%,57.7
2026-05-24,0,44,0%,62.8
2026-05-25,0,75,0%,49.7
2026-05-26,1,37,2.7%,46.9
2026-05-27,3,50,6%,39.8
2026-05-28,2,41,4.88%,39.9
2026-05-29,1,71,1.41%,53
2026-05-30,0,32,0%,41.8
2026-05-31,2,44,4.55%,33.6
2026-06-01,1,77,1.3%,54.6
2026-06-02,0,61,0%,31.6
2026-06-03,1,271,0.37%,33.3
2026-06-04,5,349,1.43%,27.4
2026-06-05,1,171,0.58%,23.9
2026-06-06,5,180,2.78%,28.4
2026-06-07,3,158,1.9%,43.4
2026-06-08,6,189,3.17%,31.9
2026-06-09,2,161,1.24%,28.4
2026-06-10,0,126,0%,25.5
2026-06-11,2,377,0.53%,26.4
2026-06-12,2,419,0.48%,30.4
2026-06-13,0,238,0%,25.9
2026-06-14,0,105,0%,25.9
2026-06-15,1,203,0.49%,42.8
2026-06-16,1,190,0.53%,30
2026-06-17,0,174,0%,33.2
2026-06-18,1,134,0.75%,33.5
2026-06-19,1,164,0.61%,28.4
2026-06-20,0,173,0%,33.8
2026-06-21,0,177,0%,39.1
2026-06-22,3,262,1.15%,33.4
2026-06-23,1,218,0.46%,35.8
2026-06-24,0,168,0%,27.9
2026-06-25,4,245,1.63%,27.5
2026-06-26,2,366,0.55%,28.1
2026-06-27,4,304,1.32%,22.2
2026-06-28,1,315,0.32%,21.3
2026-06-29,5,623,0.8%,35.3
2026-06-30,2,392,0.51%,24.8
2026-07-01,2,405,0.49%,27.7
2026-07-02,2,312,0.64%,25.1
2026-07-03,2,307,0.65%,26.2
2026-07-04,2,286,0.7%,32
2026-07-05,2,300,0.67%,33
2026-07-06,3,403,0.74%,38.5
2026-07-07,2,390,0.51%,22
2026-07-08,2,329,0.61%,27.7
2026-07-09,2,308,0.65%,26.6
2026-07-10,1,339,0.29%,30.5
2026-07-11,1,310,0.32%,29.7
2026-07-12,3,343,0.87%,25.5
2026-07-13,4,437,0.92%,40.2
2026-07-14,4,329,1.22%,30.4
2026-07-15,2,349,0.57%,32.3
2026-07-16,4,278,1.44%,27.9
2026-07-17,7,280,2.5%,22.4
2026-07-18,3,320,0.94%,32.2
2026-07-19,2,265,0.75%,28
2026-07-20,1,315,0.32%,32.9
2026-07-21,0,289,0%,20.1
2026-07-22,2,383,0.52%,20.3
2026-07-23,1,347,0.29%,20.9
2026-07-24,4,384,1.04%,22.5
2026-07-25,3,318,0.94%,22.2
2026-07-26,4,426,0.94%,19.3
2026-07-27,5,1229,0.41%,25.2
2026-07-28,7,1080,0.65%,22.1
2026-07-29,8,1123,0.71%,23.5
2026-07-30,8,1075,0.74%,23.2
2026-07-31,7,880,0.8%,25
2026-08-01,7,780,0.9%,27.4
2026-08-02,4,992,0.4%,26.9
2026-08-03,5,929,0.54%,25.7
