Country,Clicks,Impressions,CTR,Position
India,151,13081,1.15%,30.63
United States,7,5377,0.13%,27.09
Indonesia,5,183,2.73%,24.22
Pakistan,3,250,1.2%,17.55
Nigeria,3,122,2.46%,19.3
Australia,2,628,0.32%,16.3
Canada,2,334,0.6%,26.25
Singapore,2,186,1.08%,21.39
United Kingdom,1,754,0.13%,34.85
United Arab Emirates,1,275,0.36%,31.39
Netherlands,1,202,0.5%,25.08
Japan,1,199,0.5%,13.45
Italy,1,153,0.65%,29.27
Bangladesh,1,144,0.69%,35.51
Nepal,1,139,0.72%,7.13
Brazil,1,127,0.79%,16.76
France,1,121,0.83%,14.75
Thailand,1,116,0.86%,27.27
Saudi Arabia,1,114,0.88%,33.04
Poland,1,91,1.1%,45.42
Switzerland,1,80,1.25%,32.36
Turkey,1,68,1.47%,23.53
Egypt,1,40,2.5%,19.98
Norway,1,25,4%,39.08
Sri Lanka,1,18,5.56%,24.67
Peru,1,14,7.14%,11.57
Kuwait,1,13,7.69%,8.08
Portugal,1,10,10%,5.3
Kazakhstan,1,8,12.5%,10.75
Zimbabwe,1,8,12.5%,15.62
Afghanistan,1,6,16.67%,34.17
Albania,1,5,20%,14.6
Germany,0,283,0%,29.83
Vietnam,0,239,0%,28.84
Mexico,0,114,0%,25.11
Philippines,0,105,0%,26.19
Russia,0,101,0%,26.39
Spain,0,89,0%,21.08
Chile,0,77,0%,20.83
Morocco,0,77,0%,24.84
Malaysia,0,75,0%,23.28
Hong Kong,0,72,0%,7.64
Israel,0,67,0%,41.15
Algeria,0,58,0%,25.88
Ukraine,0,53,0%,25.49
South Korea,0,48,0%,7.02
South Africa,0,40,0%,22.82
Jordan,0,40,0%,27.7
Iraq,0,37,0%,27.22
Kenya,0,34,0%,38.32
Czechia,0,33,0%,18.15
Romania,0,29,0%,26.83
Sweden,0,28,0%,27.93
Argentina,0,26,0%,15.54
Belgium,0,26,0%,23.38
Colombia,0,24,0%,14.79
Austria,0,24,0%,35.83
New Zealand,0,21,0%,26.95
Taiwan,0,18,0%,9.67
Denmark,0,18,0%,24
China,0,17,0%,6.47
Greece,0,16,0%,12.44
Ghana,0,16,0%,17.19
Ireland,0,16,0%,18.62
Ethiopia,0,15,0%,13.2
Iran,0,14,0%,8.29
Qatar,0,14,0%,26.71
Serbia,0,13,0%,5.85
Ecuador,0,13,0%,8
Uganda,0,13,0%,14.46
Oman,0,11,0%,12.91
Finland,0,11,0%,28.91
Guatemala,0,7,0%,5
Hungary,0,7,0%,13
Kyrgyzstan,0,6,0%,7.67
Tunisia,0,6,0%,7.67
Slovakia,0,6,0%,11.5
Tanzania,0,5,0%,5.4
Bahrain,0,5,0%,6.2
Uzbekistan,0,5,0%,11
El Salvador,0,5,0%,13.8
Senegal,0,5,0%,14.6
Venezuela,0,5,0%,15.8
Lebanon,0,5,0%,21.2
Armenia,0,5,0%,28
Angola,0,5,0%,31
Georgia,0,4,0%,4.5
Honduras,0,4,0%,5.25
Mauritius,0,4,0%,7.25
Latvia,0,4,0%,16
Bulgaria,0,4,0%,18.5
Namibia,0,4,0%,22.5
Belarus,0,4,0%,25
Azerbaijan,0,4,0%,28.75
Moldova,0,3,0%,3.33
Puerto Rico,0,3,0%,5
Rwanda,0,3,0%,5.33
Luxembourg,0,3,0%,6.33
Croatia,0,3,0%,14
Slovenia,0,3,0%,33.67
Mozambique,0,3,0%,36.67
Palestine,0,3,0%,42
Cambodia,0,3,0%,47.33
Cuba,0,2,0%,2
Trinidad & Tobago,0,2,0%,4.5
Panama,0,2,0%,5.5
Botswana,0,2,0%,6
Dominican Republic,0,2,0%,6.5
Bosnia & Herzegovina,0,2,0%,7.5
Zambia,0,2,0%,10
Sierra Leone,0,2,0%,11
Uruguay,0,2,0%,21.5
Bolivia,0,2,0%,38
Côte d’Ivoire,0,1,0%,1
Cyprus,0,1,0%,1
Macau,0,1,0%,1
Nicaragua,0,1,0%,2
Kosovo,0,1,0%,2
Bhutan,0,1,0%,4
Costa Rica,0,1,0%,5
Myanmar (Burma),0,1,0%,7
South Sudan,0,1,0%,7
Samoa,0,1,0%,7
Maldives,0,1,0%,8
Malta,0,1,0%,8
Bahamas,0,1,0%,9
Macedonia,0,1,0%,10
Mongolia,0,1,0%,10
Somalia,0,1,0%,10
Sint Maarten,0,1,0%,10
U.S. Virgin Islands,0,1,0%,10
Bermuda,0,1,0%,11
Barbados,0,1,0%,11
Estonia,0,1,0%,13
Laos,0,1,0%,35
Paraguay,0,1,0%,39
Liechtenstein,0,1,0%,48
Guyana,0,1,0%,54
